epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,667.147,0.80214,0.57977,1.11867,0.96368,0.97619,0.98987,0.76176,0.96512,0.38832,1.19687,0.000307,0.000307,0.000307
72,676.45,0.79762,0.56667,1.12256,0.97067,0.95567,0.99178,0.75337,0.9277,0.4158,1.18789,0.0002971,0.0002971,0.0002971
73,685.704,0.79104,0.55874,1.09507,0.96075,0.97619,0.98987,0.75209,0.90159,0.36161,1.14718,0.0002872,0.0002872,0.0002872
74,695.219,0.79166,0.57957,1.10595,0.96447,0.95386,0.98595,0.73571,0.91948,0.387,1.16629,0.0002773,0.0002773,0.0002773
75,704.607,0.76728,0.55534,1.10348,0.96882,0.94449,0.995,0.76487,0.86513,0.37725,1.13103,0.0002674,0.0002674,0.0002674
76,713.93,0.77852,0.55008,1.10624,0.96517,0.97781,0.995,0.75881,0.90922,0.35953,1.18407,0.0002575,0.0002575,0.0002575
77,723.411,0.76628,0.54996,1.09898,0.95166,0.97314,0.99042,0.76387,0.87524,0.34315,1.15942,0.0002476,0.0002476,0.0002476
78,732.85,0.7725,0.5473,1.10017,0.94879,0.97619,0.98494,0.76918,0.92253,0.36016,1.15446,0.0002377,0.0002377,0.0002377
79,742.137,0.75265,0.52957,1.08915,0.97117,0.93179,0.98304,0.75242,0.95061,0.38728,1.19631,0.0002278,0.0002278,0.0002278
80,751.52,0.75313,0.54056,1.08542,0.9628,0.95477,0.99344,0.75752,0.95792,0.37536,1.18688,0.0002179,0.0002179,0.0002179
81,760.872,0.75589,0.53021,1.08829,0.96463,0.95459,0.98374,0.747,0.92157,0.3867,1.16219,0.000208,0.000208,0.000208
82,770.07,0.74278,0.542,1.08106,0.96984,0.95433,0.99178,0.77266,0.88913,0.35145,1.15979,0.0001981,0.0001981,0.0001981
83,779.529,0.7486,0.53368,1.09668,0.96585,0.95238,0.99022,0.76666,0.88515,0.35797,1.1482,0.0001882,0.0001882,0.0001882
84,788.959,0.77012,0.53626,1.10358,0.97274,0.95437,0.995,0.76401,0.94112,0.37592,1.19115,0.0001783,0.0001783,0.0001783
85,798.43,0.76526,0.5377,1.09106,0.9737,0.95497,0.995,0.75826,0.94295,0.35541,1.20735,0.0001684,0.0001684,0.0001684
86,807.802,0.75904,0.5371,1.09407,0.96004,0.95398,0.995,0.76787,0.90366,0.37543,1.18734,0.0001585,0.0001585,0.0001585
87,817.167,0.71984,0.51897,1.06433,0.95389,0.95378,0.995,0.75745,0.92308,0.39841,1.17543,0.0001486,0.0001486,0.0001486
88,826.486,0.72016,0.51325,1.0677,0.94692,0.95238,0.99022,0.76091,0.93971,0.40448,1.19671,0.0001387,0.0001387,0.0001387
89,835.789,0.739,0.52736,1.08088,0.97119,0.954,0.99344,0.76146,0.96747,0.37733,1.23553,0.0001288,0.0001288,0.0001288
90,845.056,0.74586,0.52324,1.08108,0.96649,0.95348,0.99178,0.75023,0.97392,0.39726,1.24305,0.0001189,0.0001189,0.0001189
91,856.148,0.60296,0.32962,1.02063,0.97071,0.9544,0.99344,0.74936,0.96975,0.38166,1.23462,0.000109,0.000109,0.000109
92,865.106,0.57553,0.28657,1.00937,0.97095,0.95401,0.995,0.74756,0.95742,0.36628,1.24139,9.91e-05,9.91e-05,9.91e-05
93,874.137,0.56748,0.28028,1.00284,0.9706,0.95425,0.995,0.75148,0.94626,0.36007,1.20718,8.92e-05,8.92e-05,8.92e-05
94,882.996,0.54199,0.26137,0.97462,0.96899,0.95516,0.99333,0.752,0.95472,0.36739,1.20478,7.93e-05,7.93e-05,7.93e-05
95,891.903,0.53686,0.2626,0.9647,0.97131,0.95443,0.995,0.76425,0.95106,0.3729,1.21065,6.94e-05,6.94e-05,6.94e-05
96,900.8,0.53924,0.26247,0.96775,0.96753,0.95423,0.99143,0.75924,0.95311,0.38845,1.21141,5.95e-05,5.95e-05,5.95e-05
97,909.717,0.51414,0.25594,0.96649,0.96607,0.95403,0.98405,0.75958,0.95168,0.39118,1.21432,4.96e-05,4.96e-05,4.96e-05
98,918.608,0.52438,0.25434,0.97655,0.95905,0.95381,0.98595,0.75038,0.95705,0.40444,1.21958,3.97e-05,3.97e-05,3.97e-05
99,927.512,0.52289,0.25531,0.95919,0.96384,0.95403,0.98786,0.75862,0.95153,0.39174,1.21637,2.98e-05,2.98e-05,2.98e-05
100,936.452,0.50939,0.25063,0.95214,0.96358,0.95392,0.98786,0.75795,0.95678,0.39715,1.21682,1.99e-05,1.99e-05,1.99e-05
